"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2021","16,467.3","16,537.8","16,540.6","16,431.0","68.71K","-0.33%"
"10/05/2021","16,522.0","16,582.0","16,582.7","16,505.0","68.13K","-0.33%"
"10/04/2021","16,575.9","16,586.0","16,646.1","16,538.8","52.51K","-0.06%"
"10/01/2021","16,585.2","16,576.7","16,608.1","16,548.8","51.67K","0.08%"
"09/30/2021","16,572.4","16,573.6","16,635.7","16,548.1","73.53K","0.02%"
"09/29/2021","16,569.3","16,674.6","16,746.0","16,563.6","66.72K","-0.60%"
"09/28/2021","16,668.8","16,669.7","16,703.8","16,652.4","74.47K","0.04%"
"09/27/2021","16,662.5","16,715.5","16,731.6","16,653.3","60.31K","-0.21%"
"09/24/2021","16,698.3","16,717.8","16,751.7","16,681.3","75.34K","-0.08%"
"09/23/2021","16,712.1","16,643.8","16,735.7","16,638.7","71.07K","0.43%"
"09/22/2021","16,640.9","16,694.9","16,744.2","16,640.2","74.19K","-0.28%"
"09/21/2021","16,687.7","16,700.8","16,739.8","16,678.5","67.96K","-0.05%"
"09/20/2021","16,696.4","16,691.7","16,741.4","16,663.0","69.09K","0.11%"
"09/17/2021","16,678.8","16,763.8","16,801.2","16,679.6","66.38K","-0.51%"
"09/16/2021","16,763.7","16,828.9","16,836.8","16,747.4","91.50K","-0.36%"
"09/15/2021","16,824.6","16,820.6","16,853.9","16,805.6","67.13K","0.08%"
"09/14/2021","16,811.9","16,835.1","16,878.3","16,811.3","69.29K","-0.09%"
"09/13/2021","16,826.4","16,778.1","16,843.6","16,761.1","52.01K","0.30%"
"09/10/2021","16,775.9","16,855.0","16,881.6","16,771.0","66.86K","-0.44%"
"09/09/2021","16,850.6","16,842.2","16,886.9","16,824.4","60.92K","0.10%"
"09/08/2021","16,833.5","16,829.0","16,905.8","16,820.1","79.62K","0.07%"
"09/07/2021","16,821.8","16,882.1","16,904.2","16,823.3","72.75K","-0.32%"
"09/06/2021","16,876.3","16,942.4","16,954.6","16,852.5","49.98K","-0.40%"
"09/03/2021","16,943.7","16,947.9","16,985.9","16,923.2","84.94K","0.01%"
